"UserID","Feature","Efficiency","Consumables","Comparison","Month"
"1001","65sqm apartment | Single | Wood floor","Coverage: 85%\nDaily cleaning: 45sqm\nMissed areas: Under sofa (insufficient clearance)","Main brush life: 60 days remaining\nHEPA filter: 40% remaining","Better than 65% of similar-area users (higher cleaning frequency)","2025-01"
"1002","70sqm apartment | Couple | Tile","Coverage: 88%\nObstacle avoidance failure: 2x/week (cord tangling)","Side brush wear: Moderate\nDustbin cleaning: every 3 days","Mopping usage rate 30% below average","2025-01"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 92%\nCarpet boost usage: 15x/month","Rubber brush replacement: 25 days remaining\nDustbin: daily cleaning","Hair cleaning efficiency top 15%","2025-01"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 8x/month\nAuto-recharge success: 89%","Main brush tangling: Severe\nFilter replacement: Urgent","Recommend upgrading suction to 2500Pa","2025-01"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 95%\nScheduled cleaning: unused","Battery degradation: 25%\nWater tank: inactive","Voice control urgently needed","2025-01"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 3x/week\nToy avoidance rate: 76%","Side brush replacement: 2x/quarter\nDust bag consumption: 1/month","Recommend adding robotic arm accessory","2025-01"
"1007","55sqm studio | Single | Laminate","Coverage: 90%\nDaily cleaning: 35sqm\nEdge cleaning: no blind spots","Filter life: 80 days remaining\nDustbin: every 5 days","Better than 70% of small-apartment users","2025-01"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 86%\nDining area missed: 1x/day\nObstacle avoidance: 90%","Main brush wear: Light\nWater tank: refill 2x/day","Marble floor cleaning 15% below average","2025-01"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 85%\nAuto-recharge success: 92%","Rubber brush tangling: Moderate\nFilter: 30 days remaining","Mid-range among pet-owner households","2025-01"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 82%\nManual assist: 3x/day\nScheduled cleaning: 60%","Battery degradation: 15%\nSide brush: 45 days remaining","20% below average for large-home usability","2025-01"
"1001","65sqm apartment | Single | Wood floor","Coverage: 86%\nDaily cleaning: 46sqm\nMissed areas: Under sofa (insufficient clearance)","Main brush life: 55 days remaining\nHEPA filter: 35% remaining","Better than 68% of similar-area users","2025-02"
"1002","70sqm apartment | Couple | Tile","Coverage: 87%\nObstacle avoidance failure: 3x/week (cord tangling)","Side brush wear: Moderate+\nDustbin: every 2 days","Mopping usage rate 32% below average","2025-02"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 91%\nCarpet boost usage: 14x/month","Rubber brush replacement: 20 days remaining\nDustbin: daily cleaning","Hair cleaning efficiency top 18%","2025-02"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 9x/month\nAuto-recharge success: 87%","Main brush tangling: Severe+\nFilter replacement: Urgent","Recommend 2500Pa suction + regular brush cleaning","2025-02"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 94%\nScheduled cleaning attempted: 1x/week","Battery degradation: 26%\nWater tank: inactive","Voice control + simplified UI urgently needed","2025-02"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 4x/week\nToy avoidance rate: 74%","Side brush replacement: Due\nDust bag consumption: 1.2/month","Recommend robotic arm + cross-floor nav upgrade","2025-02"
"1007","55sqm studio | Single | Laminate","Coverage: 91%\nDaily cleaning: 36sqm\nEdge cleaning: no blind spots","Filter life: 75 days remaining\nDustbin: every 4 days","Better than 72% of small-apartment users","2025-02"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 87%\nDining area missed: 1x/day\nObstacle avoidance: 91%","Main brush wear: Light+\nWater tank: refill 2x/day","Marble floor cleaning 13% below average","2025-02"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 86%\nAuto-recharge success: 93%","Rubber brush tangling: Moderate\nFilter: 25 days remaining","Upper-mid range among pet-owner households","2025-02"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 83%\nManual assist: 2x/day\nScheduled cleaning: 65%","Battery degradation: 16%\nSide brush: 40 days remaining","18% below average for large-home usability","2025-02"
